Month,Event Name,Dates,Location,Primary Focus,Geo Cluster,Meta Tags (Area of Interest)
September,Powder Metallurgy and Additive Manufacturing of Titanium (PMAMTi),Sept. 2 - 4,"Taipei, Taiwan","Powder Metallurgy, AM (Titanium)",APAC,Additive Manufacturing; Materials; Research; Asia
September,IMTS 2026 (International Manufacturing Technology Show),Sept. 14–19,"Chicago, IL, USA","Machine Tools, Automation, Digital Transformation",NA,Machine Tools; Automation; Robotics; Digital Transformation; Metalworking
September,EMO Hannover,Sept 22 - 26,"Hannover, Germany","Smart Manufacturing, Sustainable Engineering, Metalworking",EU,Machine Tools; Metalworking; Smart Factory; Sustainability; Machinery
October,Manufacturing World Osaka,Oct. 7 - 9,"Osaka, Japan","Design, Components, AM, DX (Regional)",APAC,Asia; Components; Additive Manufacturing; Digital Transformation; Machinery
October,BI-MU,Oct 8 - 12,"Milano, Italy","Machine Tool, Manufacturing",EU,Machine Tools; Machinery; Metalworking
October,China International Industry Fair (CIIF),Oct. 12–16,"Shanghai, China","Automation, IT, Machinery, Equipment",APAC,Asia; Automation; Machinery; IT/Digital; High Volume Production
October,FABTECH USA,Oct. 21–23,"Las Vegas, NV, USA","Fabrication, Welding, Finishing",NA,Fabrication; Welding; Metalworking; Machinery
October,EuroShop Middle East,Oct. 26 - 28,"Dubai, U.A.E.","Retail Technology, Store Design, Refrigeration",MEA,Retail; Logistics; Technology; MEA; Vertical
November,SPS (Smart Production Solutions),Nov. 10 - 12,"Nuremberg, Germany","Smart Production Solutions, Digitalization",EU,Smart Factory; Digital Transformation; Automation; Industry 4.0
November,ISM 2026,Nov. 10-14,TBD (Global/Virtual),Smart Manufacturing (Research),Global/Research,Industry 4.0; Smart Factory; Research
